THE	TH IH
EIGHT	AH AH G HH T
RAN	R AH N
STRUCK	S T R UW K K
STRUCK	S T R AH K K
STRUCK	S D R UW K K
ILL	IY L L
SEVEN	S IH V IH N
SEVEN	S AH V AH N
SNOW	S N AO W
SNOW	S N AH W
SOUL	S AO UW L
SOUL	S AH AH L
AGE	AH G IH
MILES	M IY L IH S
MILES	M AH L AH S
TRUTH	T R UW T HH
TRUTH	T R AH T HH
TRUTH	T R UW D HH
FORWARD	F AO R W AH R D
FORWARD	F AH R W AH R D
FORWARD	F AO R W AH R T
SUN	S UW N
WALKED	W AH L K IH D
WALKED	W AH L K AH D
WALKED	W AH L K IH T
AH	AH HH
POSITION	P AO S IY T IY AO N
POSITION	P AH S AH T AH AH N
POSITION	P AO S IY D IY AO N
BEAUTY	B IH AH UW T Y
BEAUTY	B AH AH AH T Y
BEAUTY	B IH AH UW D Y
MEET	M IH IH T
MEET	M AH AH T
NEARLY	N IH AH R L Y
NEARLY	N AH AH R L Y
WON'T	W AO N T
WON'T	W AH N T
SPIRIT	S P IY R IY T
SPIRIT	S P AH R AH T
SEEM	S IH IH M
SEEM	S AH AH M
NONE	N AO N IH
NONE	N AH N AH
LATE	L AH T IH
LATE	L AH T AH
LATE	L AH D IH
BAD	B AH D
BAD	B AH T
STANDING	S T AH N D IY N G
STANDING	S T AH N D AH N G
STANDING	S D AH N D IY N G
WONDER	W AO N D IH R
WONDER	W AH N D AH R
CUT	K UW T
SILENCE	S IY L IH N K IH
SILENCE	S AH L AH N K AH
EARLY	IH AH R L Y
EARLY	AH AH R L Y
IMMEDIATELY	IY M M IH D IY AH T IH L Y
IMMEDIATELY	AH M M AH D AH AH T AH L Y
IMMEDIATELY	IY M M IH D IY AH D IH L Y
WIND	W IY N D
WIND	W AH N D
WIND	W IY N T
SENSE	S IH N S IH
SENSE	S AH N S AH
CHANCE	CH AH N K IH
CHANCE	CH AH N K AH
HAPPENED	HH AH P P IH N IH D
HAPPENED	HH AH P P AH N AH D
HAPPENED	HH AH P P IH N IH T
REMEMBER	R IH M IH M B IH R
REMEMBER	R AH M AH M B AH R
GREW	G R IH W
GREW	G R AH W
FRONT	F R AO N T
FRONT	F R AH N T
CAUGHT	K AH UW G HH T
CAUGHT	K AH AH G HH T
BRING	B R IY N G
BRING	B R AH N G
NEITHER	N IH IY T HH IH R
NEITHER	N AH AH T HH AH R
NEITHER	N IH IY D HH IH R
YOURSELF	Y AO UW R S IH L F
YOURSELF	Y AH AH R S AH L F
WILD	W IY L D
WILD	W AH L D
WILD	W IY L T
GARDEN	G AH R D IH N
GARDEN	G AH R D AH N
BLOOD	B L AO AO D
BLOOD	B L AH AH D
BLOOD	B L AO AO T
MINUTES	M IY N UW T IH S
MINUTES	M AH N AH T AH S
MINUTES	M IY N UW D IH S
LINE	L IY N IH
LINE	L AH N AH
FURTHER	F UW R T HH IH R
FURTHER	F AH R T HH AH R
FURTHER	F UW R D HH IH R
COMPANY	K AO M P AH N Y
COMPANY	K AH M P AH N Y
THIRTY	TH IY R T Y
THIRTY	TH AH R T Y
THIRTY	TH IY R D Y
FORCE	F AO R K IH
FORCE	F AH R K AH
TROUBLE	T R AO UW B L IH
TROUBLE	T R AH AH B L AH
SEEMS	S IH IH M S
SEEMS	S AH AH M S
FILLED	F IY L L IH D
FILLED	F AH L L AH D
FILLED	F IY L L IH T
ARM	AH R M
AFRAID	AH F R AH IY D
AFRAID	AH F R AH AH D
AFRAID	AH F R AH IY T
ATTENTION	AH T T IH N T IY AO N
ATTENTION	AH T T AH N T AH AH N
ATTENTION	AH D D IH N D IY AO N
PLEASURE	P L IH AH S UW R IH
PLEASURE	P L AH AH S AH R AH
FORTH	F AO R T HH
FORTH	F AH R T HH
FORTH	F AO R D HH
LAW	L AH W
CHANGE	CH AH N G IH
CHANGE	CH AH N G AH
PURPOSE	P UW R P AO S IH
PURPOSE	P AH R P AH S AH
WOOD	W AO AO D
WOOD	W AH AH D
WOOD	W AO AO T
SISTER	S IY S T IH R
SISTER	S AH S T AH R
SISTER	S IY S D IH R
STOPPED	S T AO P P IH D
STOPPED	S T AH P P AH D
STOPPED	S T AO P P IH T
STOPPED	S D AO P P IH D
SUBJECT	S UW B JH IH K T
SUBJECT	S AH B JH AH K T
INTEREST	IY N T IH R IH S T
INTEREST	AH N T AH R AH S T
INTEREST	IY N D IH R IH S T
PUBLIC	P UW B L IY K
PUBLIC	P AH B L AH K
STARTED	S T AH R T IH D
STARTED	S T AH R T AH D
STARTED	S T AH R T IH T
STARTED	S D AH R D IH D
FIFTY	F IY F T Y
FIFTY	F AH F T Y
FIFTY	F IY F D Y
LOVED	L AO V IH D
LOVED	L AH V AH D
LOVED	L AO V IH T
EXCEPT	IH K S K IH P T
EXCEPT	AH K S K AH P T
EXCLAIMED	IH K S K L AH IY M IH D
EXCLAIMED	AH K S K L AH AH M AH D
EXCLAIMED	IH K S K L AH IY M IH T
PAY	P AH Y
TONE	T AO N IH
TONE	T AH N AH
REAL	R IH AH L
REAL	R AH AH L
YOUTH	Y AO UW T HH
YOUTH	Y AH AH T HH
YOUTH	Y AO UW D HH
INSTEAD	IY N S T IH AH D
INSTEAD	AH N S T AH AH D
INSTEAD	IY N S T IH AH T
INSTEAD	IY N S D IH AH D
WALK	W AH L K
HARDLY	HH AH R D L Y
CHARACTER	CH AH R AH K T IH R
CHARACTER	CH AH R AH K T AH R
CHARACTER	CH AH R AH K D IH R
WAIT	W AH IY T
WAIT	W AH AH T
THIRD	TH IY R D
THIRD	TH AH R D
THIRD	TH IY R T
LENGTH	L IH N G T HH
LENGTH	L AH N G T HH
LENGTH	L IH N G D HH
DIED	D IY IH D
DIED	D AH AH D
DIED	D IY IH T
MOVED	M AO V IH D
MOVED	M AH V AH D
MOVED	M AO V IH T
SITTING	S IY T T IY N G
SITTING	S AH T T AH N G
SITTING	S IY D D IY N G
HE'S	HH IH S
HE'S	HH AH S
AGO	AH G AO
GOLD	G AO L D
GOLD	G AH L D
GOLD	G AO L T
CAUSE	K AH UW S IH
CAUSE	K AH AH S AH
GETTING	G IH T T IY N G
GETTING	G AH T T AH N G
GETTING	G IH D D IY N G
THERE'S	TH IH R IH S
THERE'S	TH AH R AH S
FLOOR	F L AO AO R
FLOOR	F L AH AH R
VIEW	V IY IH W
VIEW	V AH AH W
IMPOSSIBLE	IY M P AO S S IY B L IH
IMPOSSIBLE	AH M P AH S S AH B L AH
THOUGHTS	TH AO UW G HH T S
THOUGHTS	TH AH AH G HH T S
THOUGHTS	TH AO UW G HH D S
TEARS	T IH AH R S
TEARS	T AH AH R S
STAND	S T AH N D
STAND	S T AH N T
STAND	S D AH N D
HILL	HH IY L L
HILL	HH AH L L
PLAY	P L AH Y
PLACED	P L AH K IH D
PLACED	P L AH K AH D
PLACED	P L AH K IH T
SERVICE	S IH R V IY K IH
SERVICE	S AH R V AH K AH
BROKEN	B R AO K IH N
BROKEN	B R AH K AH N
PROPERTY	P R AO P IH R T Y
PROPERTY	P R AH P AH R T Y
PROPERTY	P R AO P IH R D Y
FOREST	F AO R IH S T
FOREST	F AH R AH S T
LAUGHED	L AH UW G HH IH D
LAUGHED	L AH AH G HH AH D
LAUGHED	L AH UW G HH IH T
TALKING	T AH L K IY N G
TALKING	T AH L K AH N G
OBJECT	AO B JH IH K T
OBJECT	AH B JH AH K T
REMAINED	R IH M AH IY N IH D
REMAINED	R AH M AH AH N AH D
REMAINED	R IH M AH IY N IH T
COVERED	K AO V IH R IH D
COVERED	K AH V AH R AH D
COVERED	K AO V IH R IH T
DEAL	D IH AH L
DEAL	D AH AH L
TRY	T R Y
TOP	T AO P
LAID	L AH IY D
LAID	L AH AH D
LAID	L AH IY T
LONDON	L AO N D AO N
LONDON	L AH N D AH N
APPEARANCE	AH P P IH AH R AH N K IH
APPEARANCE	AH P P AH AH R AH N K AH
WEEK	W IH IH K
WEEK	W AH AH K
MADAME	M AH D AH M IH
MADAME	M AH D AH M AH
HAPPINESS	HH AH P P IY N IH S S
HAPPINESS	HH AH P P AH N AH S S
SMILE	S M IY L IH
SMILE	S M AH L AH
MARRIED	M AH R R IY IH D
MARRIED	M AH R R AH AH D
MARRIED	M AH R R IY IH T
WHATEVER	W HH AH T IH V IH R
WHATEVER	W HH AH T AH V AH R
WHATEVER	W HH AH D IH V IH R
BEAR	B IH AH R
BEAR	B AH AH R
ACCOUNT	AH K K AO UW N T
ACCOUNT	AH K K AH AH N T
COMES	K AO M IH S
COMES	K AH M AH S
OUTSIDE	AO UW T S IY D IH
OUTSIDE	AH AH T S AH D AH
OUTSIDE	AO UW D S IY D IH
WONDERFUL	W AO N D IH R F UW L
WONDERFUL	W AH N D AH R F AH L
NATURAL	N AH T UW R AH L
NATURAL	N AH T AH R AH L
NATURAL	N AH D UW R AH L
SAINT	S AH IY N T
SAINT	S AH AH N T
QUEEN	K UW IH IH N
QUEEN	K AH AH AH N
ARMY	AH R M Y
SEEING	S IH IH IY N G
SEEING	S AH AH AH N G
BELOW	B IH L AO W
BELOW	B AH L AH W
THINKING	TH IY N K IY N G
THINKING	TH AH N K AH N G
FIGURE	F IY G UW R IH
FIGURE	F AH G AH R AH
COMMON	K AO M M AO N
COMMON	K AH M M AH N
SOCIETY	S AO K IY IH T Y
SOCIETY	S AH K AH AH T Y
SOCIETY	S AO K IY IH D Y
SWEET	S W IH IH T
SWEET	S W AH AH T
FAIR	F AH IY R
FAIR	F AH AH R
PLEASE	P L IH AH S IH
PLEASE	P L AH AH S AH
SHOWED	SH AO W IH D
SHOWED	SH AH W AH D
SHOWED	SH AO W IH T
DESIRE	D IH S IY R IH
DESIRE	D AH S AH R AH
MAN'S	M AH N S
RICH	R IY K HH
RICH	R AH K HH
GOVERNMENT	G AO V IH R N M IH N T
GOVERNMENT	G AH V AH R N M AH N T
QUICKLY	K UW IY K K L Y
QUICKLY	K AH AH K K L Y
BOAT	B AO AH T
BOAT	B AH AH T
NECESSARY	N IH K IH S S AH R Y
NECESSARY	N AH K AH S S AH R Y
ENTIRELY	IH N T IY R IH L Y
ENTIRELY	AH N T AH R AH L Y
ENTIRELY	IH N D IY R IH L Y
MINE	M IY N IH
MINE	M AH N AH
FRESH	F R IH S HH
FRESH	F R AH S HH
AFTERNOON	AH F T IH R N AO AO N
AFTERNOON	AH F T AH R N AH AH N
AFTERNOON	AH F D IH R N AO AO N
MOUTH	M AO UW T HH
MOUTH	M AH AH T HH
MOUTH	M AO UW D HH
GIVING	G IY V IY N G
GIVING	G AH V AH N G
DREW	D R IH W
DREW	D R AH W
OPINION	AO P IY N IY AO N
OPINION	AH P AH N AH AH N
YOU'RE	Y AO UW R IH
YOU'RE	Y AH AH R AH
EXPRESSION	IH K S P R IH S S IY AO N
EXPRESSION	AH K S P R AH S S AH AH N
COURT	K AO UW R T
COURT	K AH AH R T
EASY	IH AH S Y
EASY	AH AH S Y
FOOD	F AO AO D
FOOD	F AH AH D
FOOD	F AO AO T
SIT	S IY T
STEP	S T IH P
STEP	S T AH P
STEP	S D IH P
EASILY	IH AH S IY L Y
EASILY	AH AH S AH L Y
DE	D IH
SHIP	SH IY P
SHIP	SH AH P
GENTLEMAN	G IH N T L IH M AH N
GENTLEMAN	G AH N T L AH M AH N
GENTLEMAN	G IH N D L IH M AH N
PASS	P AH S S
DISTANCE	D IY S T AH N K IH
DISTANCE	D AH S T AH N K AH
DISTANCE	D IY S D AH N K IH
TURNING	T UW R N IY N G
TURNING	T AH R N AH N G
TERRIBLE	T IH R R IY B L IH
TERRIBLE	T AH R R AH B L AH
WAITING	W AH IY T IY N G
WAITING	W AH AH T AH N G
WAITING	W AH IY D IY N G
WIDE	W IY D IH
WIDE	W AH D AH
SKY	S K Y
COULDN'T	K AO UW L D N T
COULDN'T	K AH AH L D N T
HEAVY	HH IH AH V Y
HEAVY	HH AH AH V Y
WISHED	W IY S HH IH D
WISHED	W AH S HH AH D
WISHED	W IY S HH IH T
ACT	AH K T
ESPECIALLY	IH S P IH K IY AH L L Y
ESPECIALLY	AH S P AH K AH AH L L Y
VALLEY	V AH L L IH Y
VALLEY	V AH L L AH Y
HOUSES	HH AO UW S IH S
HOUSES	HH AH AH S AH S
PAPER	P AH P IH R
PAPER	P AH P AH R
STAY	S T AH Y
STAY	S D AH Y
KILLED	K IY L L IH D
KILLED	K AH L L AH D
KILLED	K IY L L IH T
OCCASION	AO K K AH S IY AO N
OCCASION	AH K K AH S AH AH N
BESIDE	B IH S IY D IH
BESIDE	B AH S AH D AH
STONE	S T AO N IH
STONE	S T AH N AH
STONE	S D AO N IH
EXPECTED	IH K S P IH K T IH D
EXPECTED	AH K S P AH K T AH D
EXPECTED	IH K S P IH K T IH T
EXPECTED	IH K S P IH K D IH D
LIPS	L IY P S
LIPS	L AH P S
USUAL	UW S UW AH L
USUAL	AH S AH AH L
WINTER	W IY N T IH R
WINTER	W AH N T AH R
WINTER	W IY N D IH R
OFFICE	AO F F IY K IH
OFFICE	AH F F AH K AH
SECRET	S IH K R IH T
SECRET	S AH K R AH T
HORSES	HH AO R S IH S
HORSES	HH AH R S AH S
DANGER	D AH N G IH R
DANGER	D AH N G AH R
SAVE	S AH V IH
SAVE	S AH V AH
MOUNTAIN	M AO UW N T AH IY N
MOUNTAIN	M AH AH N T AH AH N
MOUNTAIN	M AO UW N D AH IY N
CHAPTER	CH AH P T IH R
CHAPTER	CH AH P T AH R
CHAPTER	CH AH P D IH R
PROBABLY	P R AO B AH B L Y
PROBABLY	P R AH B AH B L Y
BROKE	B R AO K IH
BROKE	B R AH K AH
SIMPLY	S IY M P L Y
SIMPLY	S AH M P L Y
ART	AH R T
STEPS	S T IH P S
STEPS	S T AH P S
STEPS	S D IH P S
JOY	JH AO Y
FOLLOWING	F AO L L AO W IY N G
FOLLOWING	F AH L L AH W AH N G
CHIEF	CH IY IH F
CHIEF	CH AH AH F
SLOWLY	S L AO W L Y
SLOWLY	S L AH W L Y
HALL	HH AH L L
DINNER	D IY N N IH R
DINNER	D AH N N AH R
BESIDES	B IH S IY D IH S
BESIDES	B AH S AH D AH S
KNOWS	K N AO W S
KNOWS	K N AH W S
SPRING	S P R IY N G
SPRING	S P R AH N G
SPEAKING	S P IH AH K IY N G
SPEAKING	S P AH AH K AH N G
BEGINNING	B IH G IY N N IY N G
BEGINNING	B AH G AH N N AH N G
CHANGED	CH AH N G IH D
CHANGED	CH AH N G AH D
CHANGED	CH AH N G IH T
NORTH	N AO R T HH
NORTH	N AH R T HH
NORTH	N AO R D HH
HISTORY	HH IY S T AO R Y
HISTORY	HH AH S T AH R Y
HISTORY	HH IY S D AO R Y
STRENGTH	S T R IH N G T HH
STRENGTH	S T R AH N G T HH
STRENGTH	S D R IH N G D HH
CLOSED	K L AO S IH D
CLOSED	K L AH S AH D
CLOSED	K L AO S IH T
PLACES	P L AH K IH S
PLACES	P L AH K AH S
SMILED	S M IY L IH D
SMILED	S M AH L AH D
SMILED	S M IY L IH T
CHAIR	CH AH IY R
CHAIR	CH AH AH R
ANNE	AH N N IH
ANNE	AH N N AH
MEANT	M IH AH N T
MEANT	M AH AH N T
TRYING	T R Y IY N G
TRYING	T R Y AH N G
FORTY	F AO R T Y
FORTY	F AH R T Y
FORTY	F AO R D Y
DUTY	D UW T Y
DUTY	D AH T Y
DUTY	D UW D Y
BROWN	B R AO W N
BROWN	B R AH W N
STOP	S T AO P
STOP	S T AH P
STOP	S D AO P
CORNER	K AO R N IH R
CORNER	K AH R N AH R
PRESENCE	P R IH S IH N K IH
PRESENCE	P R AH S AH N K AH
DIE	D IY IH
QUIET	K UW IY IH T
QUIET	K AH AH AH T
SILENT	S IY L IH N T
SILENT	S AH L AH N T
SINGLE	S IY N G L IH
SINGLE	S AH N G L AH
VISIT	V IY S IY T
VISIT	V AH S AH T
SCARCELY	S K AH R K IH L Y
SCARCELY	S K AH R K AH L Y
EFFECT	IH F F IH K T
EFFECT	AH F F AH K T
MAKES	M AH K IH S
MAKES	M AH K AH S
ARRIVED	AH R R IY V IH D
ARRIVED	AH R R AH V AH D
ARRIVED	AH R R IY V IH T
PARTICULAR	P AH R T IY K UW L AH R
PARTICULAR	P AH R T AH K AH L AH R
PARTICULAR	P AH R D IY K UW L AH R
BORN	B AO R N
BORN	B AH R N
CONVERSATION	K AO N V IH R S AH T IY AO N
CONVERSATION	K AH N V AH R S AH T AH AH N
CONVERSATION	K AO N V IH R S AH D IY AO N
FORTUNE	F AO R T UW N IH
FORTUNE	F AH R T AH N AH
FORTUNE	F AO R D UW N IH
ALLOWED	AH L L AO W IH D
ALLOWED	AH L L AH W AH D
ALLOWED	AH L L AO W IH T
RACE	R AH K IH
RACE	R AH K AH
PALACE	P AH L AH K IH
PALACE	P AH L AH K AH
LEGS	L IH G S
LEGS	L AH G S
WALL	W AH L L
CARRY	K AH R R Y
UNDERSTOOD	UW N D IH R S T AO AO D
UNDERSTOOD	AH N D AH R S T AH AH D
UNDERSTOOD	UW N D IH R S T AO AO T
UNDERSTOOD	UW N D IH R S D AO AO D
GREATER	G R IH AH T IH R
GREATER	G R AH AH T AH R
GREATER	G R IH AH D IH R
VILLAGE	V IY L L AH G IH
VILLAGE	V AH L L AH G AH
NINE	N IY N IH
NINE	N AH N AH
JANE	JH AH N IH
JANE	JH AH N AH
CRY	K R Y
SELF	S IH L F
SELF	S AH L F
FIGHT	F IY G HH T
FIGHT	F AH G HH T
SPENT	S P IH N T
SPENT	S P AH N T
RAISED	R AH IY S IH D
RAISED	R AH AH S AH D
RAISED	R AH IY S IH T
WOODS	W AO AO D S
WOODS	W AH AH D S
FIELD	F IY IH L D
FIELD	F AH AH L D
FIELD	F IY IH L T
FRENCH	F R IH N K HH
FRENCH	F R AH N K HH
WRONG	W R AO N G
WRONG	W R AH N G
REGARD	R IH G AH R D
REGARD	R AH G AH R D
REGARD	R IH G AH R T
DREAM	D R IH AH M
DREAM	D R AH AH M
BIT	B IY T
LIE	L IY IH
SUDDEN	S UW D D IH N
SUDDEN	S AH D D AH N
LAKE	L AH K IH
LAKE	L AH K AH
MONTHS	M AO N T HH S
MONTHS	M AH N T HH S
MONTHS	M AO N D HH S
PALE	P AH L IH
PALE	P AH L AH
MARRIAGE	M AH R R IY AH G IH
MARRIAGE	M AH R R AH AH G AH
BELIEVED	B IH L IY IH V IH D
BELIEVED	B AH L AH AH V AH D
BELIEVED	B IH L IY IH V IH T
LETTERS	L IH T T IH R S
LETTERS	L AH T T AH R S
LETTERS	L IH D D IH R S
CAMP	K AH M P
SOUTH	S AO UW T HH
SOUTH	S AH AH T HH
SOUTH	S AO UW D HH
ISN'T	IY S N T
ISN'T	AH S N T
OBSERVED	AO B S IH R V IH D
OBSERVED	AH B S AH R V AH D
OBSERVED	AO B S IH R V IH T
LEARNED	L IH AH R N IH D
LEARNED	L AH AH R N AH D
LEARNED	L IH AH R N IH T
STRAIGHT	S T R AH IY G HH T
STRAIGHT	S T R AH AH G HH T
STRAIGHT	S D R AH IY G HH T
PLEASED	P L IH AH S IH D
PLEASED	P L AH AH S AH D
PLEASED	P L IH AH S IH T
LADIES	L AH D IY IH S
LADIES	L AH D AH AH S
SOFT	S AO F T
SOFT	S AH F T
SURPRISE	S UW R P R IY S IH
SURPRISE	S AH R P R AH S AH
SEAT	S IH AH T
SEAT	S AH AH T
PLEASANT	P L IH AH S AH N T
PLEASANT	P L AH AH S AH N T
BREAD	B R IH AH D
BREAD	B R AH AH D
BREAD	B R IH AH T
BRIGHT	B R IY G HH T
BRIGHT	B R AH G HH T
WEST	W IH S T
WEST	W AH S T
EXPERIENCE	IH K S P IH R IY IH N K IH
EXPERIENCE	AH K S P AH R AH AH N K AH
NEWS	N IH W S
NEWS	N AH W S
MOVE	M AO V IH
MOVE	M AH V AH
CONDITION	K AO N D IY T IY AO N
CONDITION	K AH N D AH T AH AH N
CONDITION	K AO N D IY D IY AO N
WALLS	W AH L L S
EAT	IH AH T
FOLLOW	F AO L L AO W
FOLLOW	F AH L L AH W
O'CLOCK	AO K L AO K K
O'CLOCK	AH K L AH K K
POCKET	P AO K K IH T
POCKET	P AH K K AH T
DECLARED	D IH K L AH R IH D
DECLARED	D AH K L AH R AH D
DECLARED	D IH K L AH R IH T
MUSIC	M UW S IY K
MUSIC	M AH S AH K
PATH	P AH T HH
PATH	P AH D HH
EVIL	IH V IY L
EVIL	AH V AH L
CIRCUMSTANCES	K IY R K UW M S T AH N K IH S
CIRCUMSTANCES	K AH R K AH M S T AH N K AH S
CIRCUMSTANCES	K IY R K UW M S D AH N K IH S
MARY	M AH R Y
WARM	W AH R M
FINALLY	F IY N AH L L Y
FINALLY	F AH N AH L L Y
LATTER	L AH T T IH R
LATTER	L AH T T AH R
LATTER	L AH D D IH R
INFLUENCE	IY N F L UW IH N K IH
INFLUENCE	AH N F L AH AH N K AH
WATCH	W AH T K HH
WATCH	W AH D K HH
LEAVING	L IH AH V IY N G
LEAVING	L AH AH V AH N G
KNOWLEDGE	K N AO W L IH D G IH
KNOWLEDGE	K N AH W L AH D G AH
BATTLE	B AH T T L IH
BATTLE	B AH T T L AH
BATTLE	B AH D D L IH
STATES	S T AH T IH S
STATES	S T AH T AH S
STATES	S D AH D IH S
WASN'T	W AH S N T
PERSONAL	P IH R S AO N AH L
PERSONAL	P AH R S AH N AH L
PERSONS	P IH R S AO N S
PERSONS	P AH R S AH N S
HANDSOME	HH AH N D S AO M IH
HANDSOME	HH AH N D S AH M AH
ACTION	AH K T IY AO N
ACTION	AH K T AH AH N
ACTION	AH K D IY AO N
SHORE	SH AO R IH
SHORE	SH AH R AH
WALKING	W AH L K IY N G
WALKING	W AH L K AH N G
GOLDEN	G AO L D IH N
GOLDEN	G AH L D AH N
TWELVE	T W IH L V IH
TWELVE	T W AH L V AH
HEAVEN	HH IH AH V IH N
HEAVEN	HH AH AH V AH N
FORGET	F AO R G IH T
FORGET	F AH R G AH T
SHOOK	SH AO AO K
SHOOK	SH AH AH K
AMERICAN	AH M IH R IY K AH N
AMERICAN	AH M AH R AH K AH N
THANK	TH AH N K
VARIOUS	V AH R IY AO UW S
VARIOUS	V AH R AH AH AH S
JOURNEY	JH AO UW R N IH Y
JOURNEY	JH AH AH R N AH Y
MOON	M AO AO N
MOON	M AH AH N
MARRY	M AH R R Y
MERELY	M IH R IH L Y
MERELY	M AH R AH L Y
DIRECTION	D IY R IH K T IY AO N
DIRECTION	D AH R AH K T AH AH N
DIRECTION	D IY R IH K D IY AO N
CROWD	K R AO W D
CROWD	K R AH W D
CROWD	K R AO W T
MAJOR	M AH JH AO R
MAJOR	M AH JH AH R
I'D	IY D
I'D	IY T
SUMMER	S UW M M IH R
SUMMER	S AH M M AH R
UNLESS	UW N L IH S S
UNLESS	AH N L AH S S
SHUT	SH UW T
SHUT	SH AH T
REMAIN	R IH M AH IY N
REMAIN	R AH M AH AH N
ANXIOUS	AH N K S IY AO UW S
ANXIOUS	AH N K S AH AH AH S
SHOT	SH AO T
SHOT	SH AH T
DRESSED	D R IH S S IH D
DRESSED	D R AH S S AH D
DRESSED	D R IH S S IH T
WOULDN'T	W AO UW L D N T
WOULDN'T	W AH AH L D N T
DRESS	D R IH S S
DRESS	D R AH S S
EAST	IH AH S T
EAST	AH AH S T
LOOKS	L AO AO K S
LOOKS	L AH AH K S
BENEATH	B IH N IH AH T HH
BENEATH	B AH N AH AH T HH
BENEATH	B IH N IH AH D HH
THICK	TH IY K K
THICK	TH AH K K
WORSE	W AO R S IH
WORSE	W AH R S AH
WORTH	W AO R T HH
WORTH	W AH R T HH
WORTH	W AO R D HH
MOUNTAINS	M AO UW N T AH IY N S
MOUNTAINS	M AH AH N T AH AH N S
MOUNTAINS	M AO UW N D AH IY N S
EVIDENTLY	IH V IY D IH N T L Y
EVIDENTLY	AH V AH D AH N T L Y
EVIDENTLY	IH V IY D IH N D L Y
INSTANT	IY N S T AH N T
INSTANT	AH N S T AH N T
INSTANT	IY N S D AH N T
ESCAPE	IH S K AH P IH
ESCAPE	AH S K AH P AH
WE'LL	W IH L L
WE'LL	W AH L L
GRACE	G R AH K IH
GRACE	G R AH K AH
FATHER'S	F AH T HH IH R S
FATHER'S	F AH T HH AH R S
FATHER'S	F AH D HH IH R S
TALL	T AH L L
SOMEWHAT	S AO M IH W HH AH T
SOMEWHAT	S AH M AH W HH AH T
DROPPED	D R AO P P IH D
DROPPED	D R AH P P AH D
DROPPED	D R AO P P IH T
EXACTLY	IH K S AH K T L Y
EXACTLY	AH K S AH K T L Y
EXACTLY	IH K S AH K D L Y
ONES	AO N IH S
ONES	AH N AH S
STORM	S T AO R M
STORM	S T AH R M
STORM	S D AO R M
KNOWING	K N AO W IY N G
KNOWING	K N AH W AH N G
FALLEN	F AH L L IH N
FALLEN	F AH L L AH N
DARKNESS	D AH R K N IH S S
DARKNESS	D AH R K N AH S S
GRAY	G R AH Y
EVERYBODY	IH V IH R Y B AO D Y
EVERYBODY	AH V AH R Y B AH D Y
SIMPLE	S IY M P L IH
SIMPLE	S AH M P L AH
AFTERWARDS	AH F T IH R W AH R D S
AFTERWARDS	AH F T AH R W AH R D S
AFTERWARDS	AH F D IH R W AH R D S
MINUTE	M IY N UW T IH
MINUTE	M AH N AH T AH
MINUTE	M IY N UW D IH
SEND	S IH N D
SEND	S AH N D
SEND	S IH N T
PAIN	P AH IY N
PAIN	P AH AH N
COUNT	K AO UW N T
COUNT	K AH AH N T
SAFE	S AH F IH
SAFE	S AH F AH
PICTURE	P IY K T UW R IH
PICTURE	P AH K T AH R AH
PICTURE	P IY K D UW R IH
FAST	F AH S T
YELLOW	Y IH L L AO W
YELLOW	Y AH L L AH W
CONSIDERED	K AO N S IY D IH R IH D
CONSIDERED	K AH N S AH D AH R AH D
CONSIDERED	K AO N S IY D IH R IH T
GROWN	G R AO W N
GROWN	G R AH W N
BREATH	B R IH AH T HH
BREATH	B R AH AH T HH
BREATH	B R IH AH D HH
HEADS	HH IH AH D S
HEADS	HH AH AH D S
BANK	B AH N K
COMFORT	K AO M F AO R T
COMFORT	K AH M F AH R T
ISABEL	IY S AH B IH L
ISABEL	AH S AH B AH L
REACH	R IH AH K HH
REACH	R AH AH K HH
INDIANS	IY N D IY AH N S
INDIANS	AH N D AH AH N S
DECIDED	D IH K IY D IH D
DECIDED	D AH K AH D AH D
DECIDED	D IH K IY D IH T
SITUATION	S IY T UW AH T IY AO N
SITUATION	S AH T AH AH T AH AH N
SITUATION	S IY D UW AH D IY AO N
DIFFICULT	D IY F F IY K UW L T
DIFFICULT	D AH F F AH K AH L T
BOX	B AO K S
IMPORTANT	IY M P AO R T AH N T
IMPORTANT	AH M P AH R T AH N T
IMPORTANT	IY M P AO R D AH N T
PERFECTLY	P IH R F IH K T L Y
PERFECTLY	P AH R F AH K T L Y
PERFECTLY	P IH R F IH K D L Y
ACCORDING	AH K K AO R D IY N G
ACCORDING	AH K K AH R D AH N G
AUNT	AH UW N T
AUNT	AH AH N T
ANCIENT	AH N K IY IH N T
ANCIENT	AH N K AH AH N T
FRANK	F R AH N K
PIECE	P IY IH K IH
PIECE	P AH AH K AH
RUNNING	R UW N N IY N G
RUNNING	R AH N N AH N G
MORROW	M AO R R AO W
MORROW	M AH R R AH W
WHAT'S	W HH AH T S
WHAT'S	W HH AH D S
LYING	L Y IY N G
LYING	L Y AH N G
FISH	F IY S HH
FISH	F AH S HH
CLASS	K L AH S S
BILLY	B IY L L Y
BILLY	B AH L L Y
PLAIN	P L AH IY N
PLAIN	P L AH AH N
PEACE	P IH AH K IH
PEACE	P AH AH K AH
LIKED	L IY K IH D
LIKED	L AH K AH D
LIKED	L IY K IH T
HAT	HH AH T
SICK	S IY K K
SICK	S AH K K
CARRIAGE	K AH R R IY AH G IH
CARRIAGE	K AH R R AH AH G AH
REPEATED	R IH P IH AH T IH D
